German,English
egal ,no matter
kennen ,know
deinem ,your
vergessen ,forget
frage ,question
mache ,make
komme ,come
sage ,legend
mag ,like
sieh ,look
echt ,real
gib ,give
eigentlich ,actually
jeden ,every
dad ,dad
gab ,gave
uhr ,clock
stadt ,city
männer ,men
baby ,infant
fahren ,travel
namen ,name
bekommen ,receive
kopf ,head
hi ,Hi
gehe ,go
kleine ,small
später ,later
glück ,happiness
letzte ,last
freunde ,friends
n ,n
all ,Alles
darauf ,thereon
ende ,end
dr. ,Dr.
bald ,soon
töten ,kill
dinge ,things
meinst ,mean
toll ,Great
eins ,one
minuten ,minute
vielen ,many
bereit ,ready
weit ,far
ahnung ,idea
seiner ,his
bisschen ,little
tür ,door
auto ,automobile
jungs ,guys
eure ,your
augen ,eyes
polizei ,police
stehen ,stand
sterben ,die
hätten ,have
draußen ,outdoors
kenne ,know
fast ,nearly
runter ,down
vorbei ,past
treffen ,meet
gerne ,gladly
dran ,your turn
wurden ,became
arbeiten ,work
mom ,Mom
verrückt ,crazy
neue ,new
ging ,went
hinter ,Behind
sorgen ,care for
einzige ,only one
jemanden ,someone
darum ,therefore
tochter ,daughter
braucht ,needs
idee ,idea
schwester ,sister
drin ,in it
ruhig ,quiet
sah ,saw
ganzen ,entire
spät ,late
ziemlich ,quite
solltest ,ward
name ,Surname
sogar ,even
kurz ,short
kerl ,Guy
frauen ,women
liegt ,lies
suchen ,Looking for
finde ,find
je ,ever
woher ,where
lang ,long
job ,job
keiner ,none
seinem ,his
hört ,hearing
verstehen ,to understand
spielen ,to play
s. ,S.
überhaupt ,at all
teufel ,Devil
verstanden ,Understood
verloren ,lost
große ,size
hand ,hand
grund ,reason
jahr ,year
kommst ,come
mama ,mummy
ruhe ,Quiet
gewesen ,been
tod ,death
stunden ,hours
hoffe ,hope
denkst ,think
oben ,above
gestern ,yesterday
versuchen ,try
art ,kind
letzten ,last
schatz ,sweetheart
endlich ,at last
he ,head
nimm ,take
etwa ,approximately
erzählt ,told
läuft ,runs
schwer ,heavy
anders ,different
miss ,miss
musste ,had to
fünf ,five
wasser ,water
lässt ,leaves
erste ,first
versucht ,tries
gekommen ,came
geschichte ,story
wenig ,little
holen ,to fetch
bedeutet ,means
nett ,kind
wahrheit ,truth
woche ,week
bringt ,brings
deshalb ,for this reason
welche ,Which
bestimmt ,certainly
hoch ,high
alter ,age
sagst ,tell
schau ,look
ah ,Ah
land ,country
zimmer ,room
wagen ,dare
vier ,four
gefallen ,please
spaß ,fun
niemals ,No way
schuld ,blame
getötet ,killed
wollten ,wanted to
verlassen ,leaving
zeigen ,demonstrate
beste ,best
ernst ,serious
unserer ,our
denen ,to them
ort ,location
bleibt ,remain
würdest ,thought
manchmal ,sometimes
glaubst ,believe
seite ,page
lasst ,leaves
zwischen ,between
eben ,just
während ,while
spiel ,game
nehme ,take
ersten ,first
guter ,goods
chance ,chance
freundin ,girlfriend
krieg ,war
gefällt ,pleases
kleinen ,small
erzählen ,tell
anderes ,other
tage ,day
entschuldigen ,to apologize
wichtig ,important
gehst ,go
allen ,all
bett ,bed
mrs. ,MRS.
sachen ,Things
the ,the
schlecht ,bad
schule ,school
entschuldigung ,Excuse me
wort ,word
john ,John
hättest ,had
wären ,be
typ ,Type
schlafen ,sleep
äh ,Ah
tu ,tu
euer ,your
captain ,captain
gesicht ,face
falls ,if
neuen ,new
bloß ,just
unten ,below
teil ,part
beiden ,both
mensch ,person
kleiner ,smaller
stellen ,place
oft ,often
sorge ,worries
gedacht ,thought
tust ,tu
trinken ,to drink
einige ,some
dies ,this
ding ,thing
unseren ,Our
kriegen ,get
blut ,blood
ehrlich ,honest
eltern ,parents
scheint ,appears
herz ,heart
jack ,Jack
glücklich ,happy
alte ,old
alt ,old
bleib ,stay
wiedersehen ,reunion
frei ,free
wen ,whom
drauf ,on it
möglich ,possible
irgendwie ,somehow
reicht ,enough
fest ,fixed
besten ,best
waffe ,weapon
kaum ,barely
irgendwas ,anything
klingt ,sound
platz ,place
brauchst ,need
rede ,speech
papa ,father
falsch ,not correct
sondern ,but
alten ,old
nummer ,number
früher ,previously
jungen ,boys
wohin ,where
außer ,except
früh ,early
setzen ,set
zuerst ,first
wahrscheinlich ,probably
dürfen ,to be allowed to
jede ,every
arsch ,ass
telefon ,phone
tue ,do
kennst ,know
willkommen ,welcome
plan ,plan
großen ,huge
retten ,save
hierher ,here
wär ,would be
bring ,bring
fehler ,failure
wollt ,want
dollar ,dollar
zehn ,ten
allem ,all
pass ,passport
nächste ,next
stunde ,hour
hände ,hands
gegeben ,given
menge ,lot
langsam ,slow
bereits ,already
wartet ,wait
sechs ,six
lieben ,love
meines ,mine
büro ,office
nächsten ,next
gebe ,giving
wochen ,weekly
ruf ,call
schaffen ,create
leider ,Unfortunately
scheiß ,shit
hölle ,hell
trotzdem ,despite this
doktor ,doctor
tja ,well
new ,New
voll ,fully
film ,Movie
überall ,all over
hund ,dog
geworden ,become
direkt ,direct
wolltest ,wanted
tat ,did
denkt ,thinks
schiff ,ship
neues ,new
wem ,whom
könig ,king
danach ,thereafter
funktioniert ,functions
hattest ,had
lernen ,to learn
deswegen ,because of this
wow ,Wow
nennen ,to name
hm ,Hm
feuer ,Fire
laufen ,to run
alleine ,alone
erinnern ,recall
völlig ,fully
kleines ,small
könnt ,can
stelle ,Job
kumpel ,Dude
verlieren ,lose
probleme ,problems
spricht ,speaks
kaffee ,coffee
luft ,air
fand ,found
i ,I
entschuldige ,Excuse me
ziehen ,draw
verschwinden ,disappear
könntest ,could
seht ,look
aufhören ,stop
eigenen ,own
richtige ,right one
unserem ,ours
suche ,seek
zwar ,though
groß ,great
hol ,hold
buch ,a book
krank ,ill
fühle ,feel
jedes ,each
verstehst ,understand
wert ,value
arzt ,doctor
froh ,joyful
versuche ,try
straße ,Street
rufen ,call
heiraten ,marry
super ,Super
sam ,sam
lebt ,lives
gutes ,good
lasse ,laser
onkel ,uncle
total ,total
gebracht ,brought
party ,party
erklären ,explain
spielt ,play
wahl ,choice
vertrauen ,to trust
damals ,back then
tagen ,days
leicht ,easy
nachdem ,after this
gegangen ,went
gefühl ,feeling
kaufen ,to buy
geschafft ,made
typen ,types
interessiert ,Interested
möchten ,want
halte ,hold
hält ,hold
glaub ,belie
irgendwo ,somewhere
stück ,piece
genauso ,just like that
kennt ,knows
genommen ,taken
zukunft ,future
weniger ,fewer
cool ,cool
licht ,light
getroffen ,met
himmel ,sky
nachricht ,news
drüben ,over there
passt ,fits
sagten ,told
kümmern ,To take care of
laut ,according to
vergiss ,forget
angerufen ,called
sitzen ,sit
daß ,that
erde ,Earth
großer ,greater
schlüssel ,key
rest ,rest
passieren ,happen
eher ,rather
gefragt ,asked
gefängnis ,jail
opfer ,victim
körper ,body
solche ,such
mist ,damn
mr ,mr
findet ,find
schreiben ,to write
böse ,angry
gesprochen ,spoken
versuch ,attempt
vorstellen ,introduce
wovon ,About what
sobald ,as soon as
nochmal ,once again
herren ,Men's
sex ,sex
waffen ,weapons
wohnung ,apartment
weh ,sore
heißen ,mean
krankenhaus ,hospital
bringe ,bring
höre ,hear
millionen ,millions
klasse ,Great
hart ,hard
worden ,has been
sinn ,sense
außerdem ,aside from that
verletzt ,hurt
ändern ,change
erfahren ,Experienced
tragen ,wear
wenigstens ,at least
vorsichtig ,carefully
daddy ,daddy
stolz ,proud
stark ,strong
fällt ,fall
möchtest ,want
leuten ,people
besonders ,particularly
schöne ,lovely
schicken ,send
person ,person
schätze ,treasures
solange ,so long
länger ,longer
großartig ,Great
lacht ,laugh
anrufen ,call
stand ,was standing
redest ,talk
fühlen ,feel
erwartet ,expected
boden ,floor
boss ,boss
stimme ,voice
glaubt ,believe
still ,quiet
sicherheit ,safety
setz ,sitting
ma ,ma
mund ,mouth
kämpfen ,battle
wisst ,scoff
lachen ,laugh
hörst ,hear
zeug ,things
lustig ,fun
umbringen ,kill
sollst ,shorter
hasse ,hate
schlimm ,terrible
o ,O
unglaublich ,incredible
wärst ,be
laden ,load
führen ,to lead
gestorben ,died
schauen ,look
meinung ,opinion
lesen ,read
mörder ,murderer
frank ,frank
ähm ,um
geschehen ,happen
geschäft ,shop
idiot ,idiot
verzeihung ,forgiveness
fliegen ,to fly
zeig ,show
team ,team
general ,general
mike ,mike
aufs ,onto
york ,York
vorher ,before
schluss ,Enough
schneller ,more quickly
liebt ,loving
verdient ,deserved
mögen ,to like
meisten ,most
denk ,think
umgebracht ,killed
perfekt ,Perfect
versprochen ,promised
handy ,mobile
hinten ,rear
monate ,months
erinnere ,recall
acht ,eight
arbeitet ,is working
fallen ,fall
rufe ,call
nötig ,necessary
a ,a
mord ,murder
heraus ,out
tages ,day
unmöglich ,not possible
liebling ,Darling
charlie ,Charlie
tatsächlich ,In fact
folgen ,follow
bitten ,ask
behalten ,keep
nähe ,vicinity
arbeite ,work
joe ,joe
verdammte ,damn
plötzlich ,suddenly
lebens ,life
hole ,go
tisch ,table
michael ,Michael
hörte ,heard
jemals ,ever
liegen ,lie
verkaufen ,Selling
gefährlich ,dangerous
anfangen ,begin
bekommt ,receives
machte ,bother
ha ,Ha
hotel ,hotel
hilft ,help
werdet ,become
meister ,master
kampf ,struggle
antwort ,answer
konnten ,could
geschickt ,sent
jedem ,each
obwohl ,although
sieben ,seven
komisch ,funny
gewinnen ,to win
ihres ,Yours
bezahlt ,paid
you ,you
voller ,full of
unterwegs ,On the way
dumm ,stupid
ärger ,trouble
bild ,image
george ,George
neu ,New
bezahlen ,pay
dagegen ,against it
seien ,be
starb ,died
tom ,Tom
monaten ,monthly
leiche ,corpse
niemanden ,no one
auge ,eye
arschloch ,asshole
verheiratet ,married
peter ,Peter
zieh ,pull
nimmt ,takes
gerettet ,saved
agent ,agent
traum ,dream
entscheidung ,decision
schlimmer ,worse
regeln ,rules
fenster ,window
fangen ,catch
fort ,forth
ständig ,constant
findest ,find
gefahr ,danger
absolut ,absolutely
mary ,Mary
augenblick ,moment
bescheid ,notice
rum ,rum
gedanken ,thoughts
werd ,be
ziel ,target
benutzt ,used
bewegung ,Move
jemandem ,someone
wünschte ,wished
worte ,words
kamen ,came
welcher ,which
zahlen ,counting
anfang ,Beginning
legen ,place
erinnerst ,remember
anwalt ,attorney
fahr ,driving
sitzt ,sitting
hilf ,help
offen ,open minded
schönen ,breeze
monsieur ,monsoon
müsste ,might
arme ,poor
bier ,beer
fürs ,for
partner ,partner
klein ,small
david ,David
klappe ,flap
süß ,Sweet
herum ,hereabouts
finger ,finger
ehe ,before
rolle ,role
ließ ,pitch
gleiche ,same
monat ,month
hochzeit ,wedding
max ,Max
führt ,leads
paris ,Paris
wach ,awake
wozu ,what for
arm ,poor
geschrieben ,written
chef ,boss
benutzen ,use
informationen ,information
erledigt ,completed
hoffentlich ,hopefully
müsst ,must
fühlt ,feels
tanzen ,to dance
ansehen ,watch
darfst ,can
zuhause ,At home
wunderbar ,Marvelous
hältst ,hold
reise ,trip
gewonnen ,won
dame ,lady
irgendwann ,Sometime
chffffff ,Chffffff
alex ,Alex
steckt ,plugged
jedenfalls ,in any case
schreit ,cries
tolle ,great
rüber ,over
tschüss ,bye
nennt ,is called
raum ,space
heiß ,hot
foto ,photo
kalt ,cold
paul ,paul
irgendetwas ,anything
weile ,while
bisher ,until now
minute ,minute
unbedingt ,necessarily
zug ,train
sekunden ,seconds
wofür ,for what
erzähl ,narrow
nen ,nine
beweise ,proofs
nahm ,took
aller ,all
freut ,is happy
seele ,soul
schießen ,shoot
müde ,tired
dauert ,take
magst ,like
harry ,Harry
brief ,letter
gelernt ,learned
sucht ,seeks
bekannt ,known
weitere ,Further
unfall ,accident
dahin ,there
kontrolle ,control
beispiel ,example
lady ,lady
dasselbe ,the same thing
herzen ,heart
schlagen ,beat
wütend ,furious
weise ,way
damen ,ladies
darin ,in this
gottes ,God
holt ,get
fehlt ,is missing
vorsicht ,caution
heiße ,name is
beweisen ,prove
gehabt ,false
zumindest ,at least
vermisst ,missing
hübsch ,pretty
kriegt ,wart
verbindung ,link
tief ,deep
richtung ,direction
lage ,location
sowieso ,anyway
kraft ,force
normal ,normal
lauf ,run
ehre ,honor
stell ,set
geschenk ,gift
bar ,bar
tasche ,bag
gelesen ,had read
gekauft ,bought
wussten ,knew
gestohlen ,stolen
hunger ,hunger
leg ,leg
lügen ,lying
beziehung ,relationship
ben ,ben
verschwunden ,disappeared
steh ,stand up
nächstes ,next
gearbeitet ,worked
preis ,price
witz ,joke
meinte ,mean
liste ,list
geist ,ghost
neben ,Next
gesucht ,sought
firma ,company
süße ,sweetness
rücken ,move
schrecklich ,dreadful
letzter ,last
verliebt ,in love
öffnen ,to open
redet ,talk
boot ,boat
seltsam ,strange
versteckt ,hidden
fürchte ,fear
verschwinde ,disappear
erwischt ,Caught
verkauft ,sold
tante ,aunt
erwarten ,expect
pferd ,horse
wunder ,wonder
sauer ,angry
vermutlich ,allegedly
näher ,closer
major ,major
jung ,young
majestät ,majesty
aussehen ,look
ans ,to
de ,de
and ,and
links ,Left
großes ,big
welches ,which
beschützen ,to protect
geboren ,born
erreichen ,reach
punkt ,Point
kindern ,children
kirche ,church
verraten ,betray
selber ,himself
befehl ,command
colonel ,colonel
fährt ,moves
zieht ,pull
geburtstag ,date of birth
haut ,skin
wette ,bet
reich ,rich
sekunde ,second
fahre ,drive
schwöre ,swear
geredet ,talked
james ,james
madame ,madame
eigene ,own
zeiten ,time
traurig ,Sad
anruf ,Call
nachrichten ,news
frieden ,peace
karte ,map
güte ,quality
euren ,go
diesmal ,this time
schade ,a pity
persönlich ,personally
kriege ,wars
stirbt ,dying
bleibe ,stay
verändert ,changes
sonne ,Sun
lieb ,Dear
nämlich ,namely
letztes ,last
bekam ,got
ruft ,calls
professor ,professor
gericht ,court
nase ,nose
ewig ,eternal
singen ,to sing
bank ,Bank
beschäftigt ,employed
computer ,computer
yeah ,yeah
toten ,kill
weihnachten ,Christmas
offensichtlich ,apparently
naja ,Oh well
henry ,henry
gefühle ,feelings
fuß ,foot
show ,show
überraschung ,surprise
geheimnis ,secret
fbi ,FBI
kontakt ,Contact
gold ,gold
drogen ,drugs
regierung ,government
wein ,Wine
kriegst ,get
ermordet ,murdered
fotos ,photos
entfernt ,removed
geschlafen ,sleep
manche ,some
erledigen ,complete
ran ,ran
gegenüber ,opposite to
schlaf ,sleep
lust ,desire
wunderschön ,beautiful
witzig ,funny
nick ,nick
zerstört ,destroyed
übrigens ,by the way
willen ,saw
heim ,home
richtigen ,right
deines ,Your
namens ,called
zeigt ,shows
geliebt ,loved
gehören ,belong
brachte ,brought
herrn ,Mr
blick ,view
besuch ,visit
schlechte ,bad
bewegen ,move
haare ,hair
antworten ,answers
präsident ,president
sagtest ,assessed
hoffnung ,hope
stecken ,put
lebe ,live
rechts ,to the right
interessant ,Interesting
entscheiden ,decide
miteinander ,together
meint ,means
liebst ,lovely
indem ,by doing
bleibst ,stay
kümmere ,caring
wohnen ,reside
weder ,neither
möglichkeit ,opportunity
kaputt ,broken
bekomme ,get
flugzeug ,plane
vergangenheit ,past
anderer ,another
zweite ,second
armee ,army
jim ,Jim
tee ,tea
entweder ,either
weiss ,White
don ,Don
detective ,detective
aufhalten ,stop
stellt ,set
verspreche ,promising
überrascht ,surprised
sauber ,clean
hau ,haunt
mark ,mark
schlag ,punch
sheriff ,sheriff
untertitel ,subtitle
setzt ,puts
frag ,question
vaters ,father
nervös ,nervous
gesellschaft ,society
verstecken ,hide
schuldig ,guilty
hals ,throat
schützen ,protection
besuchen ,to visit
of ,of
passen ,fit
überleben ,survive
erhalten ,obtain
teilen ,share
gebäude ,building
schicksal ,fate
zeichen ,sign
richter ,judge
besorgt ,concerned
küche ,kitchen
lief ,ran
vergnügen ,enjoyment
wüsste ,knew
volk ,people
lhr ,Lohr
herausfinden ,find out
königin ,queen
soldaten ,soldiers
feiern ,celebrate
situation ,situation
lag ,lay
gelassen ,calmly
allerdings ,Indeed
soweit ,so far
gefahren ,drove
verstand ,understanding
bord ,board
schönes ,beautiful
jimmy ,Jimmy
billy ,billy
angefangen ,begun
lee ,lee
fühlst ,feel
bob ,bob
mussten ,had
rat ,advice
worauf ,what
gebeten ,prayer
tony ,tony
kamera ,camera
achtung ,Attention
lieutenant ,Lieutenant
ganzes ,whole
schuhe ,shoes
sarah ,Sarah
glückwunsch ,congratulation
niemandem ,no one
gibst ,give
statt ,instead of
übernehmen ,take over
gegend ,area
wald ,Forest
al ,alarm
la ,la
nimmst ,take
danny ,Danny
erkennen ,recognize
glas ,Glass
falsche ,false
verantwortlich ,responsible
jesus ,Jesus
stöhnt ,groaned
herein ,in
kleid ,a dress
zerstören ,destroy
jawohl ,Yes sir
london ,London
gegessen ,eaten
abendessen ,Dinner
gesetz ,law
gemeinsam ,together
geholfen ,help
erster ,first
wohnt ,lover
schritt ,step
guck ,look
nahe ,vicinity
aussieht ,look
beginnen ,kick off
dachten ,thought
band ,tape
ungefähr ,approximately
aufgabe ,task
neun ,nine
furchtbar ,terrible
drinnen ,inside
zuvor ,before
charles ,Charles
freue ,am happy
amerika ,America
übrig ,left over
spur ,track
falschen ,false
sergeant ,sergeant
melden ,Report
helfe ,help
werfen ,throw
bill ,bill
haltet ,holding
erinnert ,remind
hängt ,hangs
freude ,joy
ehemann ,husband
erschossen ,shot
verzeihen ,pardon
schwein ,pig
uh ,uh
monster ,monster
entschieden ,decided
mission ,mission
verdammten ,damn
brauch ,custom
gewusst ,knew
vorne ,in front
stopp ,stop
übel ,bad
schlampe ,slut
schöner ,more beautiful
adresse ,address
unsinn ,nonsense
messer ,knife
gesund ,healthy
respekt ,respect
pro ,Per
leisten ,Afford
davor ,before
richard ,Richard
bedeuten ,mean
ball ,ball
mitnehmen ,take along
gespielt ,played
to ,to
schwierigkeiten ,trouble
hälfte ,half
kannte ,knew
stehe ,stand
maria ,Maria
planeten ,planet
schwanger ,pregnant
gruppe ,group
anna ,Anna
verhaftet ,arrested
deal ,deal
seines ,his
irgendwelche ,any
händen ,hands
versteht ,understands
drehen ,turn
eis ,ice cream
danken ,to thank
erfolg ,success
zufrieden ,satisfied
schließen ,conclude
besorgen ,obtain
wochenende ,weekend
worüber ,about what
stimmen ,voices
nehmt ,taking
martin ,Martin
m ,m
witze ,jokes
beine ,legs
verbrechen ,crime
bericht ,report
nachts ,at night
eurer ,your
prinzessin ,princess
schmerz ,pain
klingelt ,rings
position ,position
echte ,true
gleichen ,equal
fernsehen ,TV
wünsche ,Wishes
schließlich ,in the end
gefangen ,captured
schätzchen ,baby
seh ,see
schwierig ,difficult
angebot ,offer
nah ,close
jane ,Jane
gewartet ,waited
kümmert ,takes care
ring ,ring
rennen ,run
lied ,song
eier ,eggs
welchen ,which
sorry ,sorry
fantastisch ,fantastic
schaut ,looks
hielt ,held
falle ,cases
drink ,drink
insel ,Island
dauern ,last
daher ,therefore
zufällig ,coincidentally
dorf ,village
clark ,Clark
bewegt ,emotional
mitten ,in the middle
bullen ,cops
feind ,enemy
einverstanden ,I Agree
neuer ,news
bauen ,build
trägt ,wearing
hängen ,hang
freunden ,friends
deren ,whose
halb ,half
verpasst ,lost
sprach ,spoke
leise ,quiet
armen ,poor
wusstest ,knotted
fanden ,found
unternehmen ,Companies
träume ,dreams
schläft ,is sleeping
kostet ,cost
spiele ,games
unseres ,our
entlang ,along
johnny ,Johnny
versprechen ,promise
tiere ,animals
freiheit ,freedom
verdienen ,to earn
aha ,Aha
unterhalten ,to chat
eingeladen ,invited
schaden ,damage
genannt ,called
beenden ,break up
ray ,ray
geändert ,changed
thomas ,Thomas
lächerlich ,ridiculous
geschlagen ,beaten
park ,park
schätzen ,estimate
männern ,men
t ,t
beginnt ,begins
ehren ,to honor
größte ,largest
energie ,energy
fleisch ,meat
besonderes ,special
besteht ,consists
reichen ,are sufficient
robert ,Robert
zeitung ,newspaper
worum ,what
nachgedacht ,thoughtful
betrunken ,drunk
sowas ,like this
patienten ,patient
gespräch ,conversation
leiden ,To suffer
taxi ,taxi
tötet ,killing
see ,lake
unterschied ,difference
wind ,wind
singt ,sings
schreien ,scream
daniel ,Daniel
sahen ,saw
wand ,Wall
bus ,bus
lhre ,lair
angriff ,attack
verhalten ,behavior
loch ,hole
interesse ,interest
treten ,step
quatsch ,nonsense
trifft ,meets
polizist ,police officer
blumen ,flower
neuigkeiten ,news
bringst ,bring
flasche ,bottle
rief ,shouted
schuss ,shot
fassen ,grasp
meer ,sea
konntest ,met
schafft ,manage
maschine ,machine
spreche ,speak
bein ,leg
eddie ,Eddie
bekommst ,get
verbringen ,spend
bücher ,Books
blöd ,stupid
frühstück ,breakfast
tommy ,tommy
meter ,meter
bilder ,pictures
aufpassen ,watch out
claire ,Claire
dessen ,whose
muß ,got to
freuen ,be happy
engel ,Angel
offenbar ,apparently
gelegenheit ,occasion
fang ,catch
lüge ,lie
ohren ,ear
au ,au
angetan ,imaginable
beeil ,hurry
brechen ,break
brüder ,brothers
zeitpunkt ,time
keinem ,no
ecke ,corner
brücke ,bridge
druck ,pressure
mitgebracht ,brought
seufzt ,sighing
date ,date
haufen ,heap
oma ,granny
auftrag ,assignment
leer ,empty
entkommen ,escape
bobby ,Bobby
weißen ,white
lösung ,solution
wart ,wart
pause ,Break
irre ,crazy
gestellt ,posed
keller ,"basement, cellar"
gebrochen ,Broken
weinen ,cry
nutzen ,to use
wünschen ,wish
fragt ,inquire
maul ,mouth
verantwortung ,responsibility
schloss ,lock
hut ,cap
lächeln ,smile
ryan ,ryan
red ,red
grad ,Degree
zweiten ,second
hinaus ,out
mitkommen ,come along
vorhin ,earlier
fahrt ,journey
gemeint ,meant
ernsthaft ,serious
gebaut ,built
bombe ,bomb
hasst ,hate
versteh ,understanding
kosten ,costs
zeige ,show
traf ,met
eigenes ,own
haar ,hair
fragte ,asked
jason ,jason
operation ,surgery
befehle ,commands
schmerzen ,pains
erklärt ,explained
steve ,steve
dach ,roof
folge ,episode
gelaufen ,ran
schwarze ,black
dankbar ,thankful
gehirn ,brain
töte ,kill
mädels ,maid
mut ,courage
heilige ,saint
laura ,laura
tier ,animal
system ,system
mannes ,man
wahnsinn ,insanity
nee ,no
rose ,rose
club ,club
geschlossen ,closed
hintern ,butt
is ,is
thema ,topic
fiel ,fell
gehalten ,held
dorthin ,there
urlaub ,vacation
steig ,climb
vorwärts ,forward
überprüfen ,check
besseres ,better
beweis ,proof
baum ,tree
gebt ,giving
funktionieren ,function
anscheinend ,apparently
lehrer ,teacher
hoffen ,hope
bessere ,better
isst ,eat
nachmittag ,afternoon
nem ,nem
risiko ,risk
chuck ,chuck
knast ,jail
entschuldigt ,apologized
gilt ,is applicable
held ,hero
daraus ,from this
erstes ,first
fräulein ,young lady
rachel ,rachel
prima ,great
brauchte ,needed
gewalt ,violence
dean ,dean
liebes ,Dear
schaffst ,man
nachdenken ,ponder
tor ,gate
erfahrung ,experience
pläne ,plans
jagen ,to hunt
katze ,cat
runde ,round
deutsche ,German
schwanz ,tail
